system:index,B2,B3,B4,B5,B6,B7,B8,landcover,ndd,ndsi,ndvi,.geo
1_1_1_1_2_22_0,6450,6434,6866,7132,7053,6921,6668,1,1.0296941,0.85204375,-0.014629821,
1_1_1_1_2_23_0,6774,6750,7134,7273,7242,7050,6857,1,1.0403967,0.86052924,-0.019798443,
1_1_1_1_2_24_0,6429,6486,6939,7055,7105,7015,6690,1,1.0372198,0.82165426,-0.018269865,
1_1_1_1_2_25_0,7061,7060,7473,7596,7545,7308,7089,1,1.0541685,0.8744192,-0.026370004,
1_1_1_1_2_26_0,6414,6354,6801,6904,6892,6744,6620,1,1.0273414,0.8554534,-0.013486328,
1_1_1_1_2_27_0,6733,6700,7157,7313,7291,7089,6876,1,1.0408667,0.87046343,-0.020024229,
1_1_1_1_2_28_0,6488,6487,6902,7022,6993,6841,6658,1,1.0366477,0.8849339,-0.0179941,
1_1_1_1_2_29_0,5695,5776,6167,6264,6305,6240,6070,1,1.0159802,0.8030279,-0.00792678,
1_1_1_1_2_30_0,6902,6848,7289,7382,7390,7187,7010,1,1.0398003,0.86416227,-0.019511854,
1_1_1_1_2_31_0,7130,7119,7581,7726,7697,7525,7303,1,1.0380665,0.86215013,-0.018677775,
1_1_1_1_2_32_0,6914,6890,7267,7494,7331,7190,6983,1,1.0406702,0.87101156,-0.019929824,
1_1_1_1_2_33_0,6773,6732,7155,7247,7280,7114,6974,1,1.0259535,0.85377944,-0.012810531,
1_1_1_1_2_34_0,6758,6714,7096,7259,7146,6993,6809,1,1.0421501,0.8751571,-0.020640058,
1_1_1_1_2_35_0,6883,6886,7318,7390,7401,7217,7033,1,1.0405233,0.8666305,-0.019859243,
1_1_1_1_2_36_0,6826,6756,7168,7289,7275,7096,6940,1,1.032853,0.8699142,-0.016161043,
1_1_1_1_2_37_0,6625,6604,7054,7166,7143,6946,6783,1,1.0399529,0.82834995,-0.01958517,
1_1_1_1_2_38_0,6571,6566,6989,7165,7079,6919,6770,1,1.0323486,0.8941295,-0.015916854,
1_1_1_1_2_39_0,6310,6241,6655,6728,6706,6594,6408,1,1.0385456,0.8524785,-0.018908367,
